Method,Rows,Cols,Size_MB,Time_ms,Bandwidth_GB_s,Elements_per_sec
CPU_Naive,512,512,1.000000,1.049000,1.999192,2.498990e+08
CUDA_Naive,512,512,1.000000,109.875000,0.019087,2.385838e+06
CUDA_Optimized,512,512,1.000000,1.395000,1.503335,1.879168e+08
CUDA_Unified,512,512,1.000000,119.813000,0.017504,2.187943e+06
CPU_Naive,1024,1024,4.000000,7.524000,1.114913,1.393642e+08
CUDA_Naive,1024,1024,4.000000,3.669000,2.286347,2.857934e+08
CUDA_Optimized,1024,1024,4.000000,3.071000,2.731556,3.414445e+08
CUDA_Unified,1024,1024,4.000000,93.844000,0.089389,1.117361e+07
CPU_Naive,2048,1024,8.000000,16.840000,0.996272,1.245340e+08
CUDA_Naive,2048,1024,8.000000,5.421000,3.094856,3.868570e+08
CUDA_Optimized,2048,1024,8.000000,3.824000,4.387347,5.484184e+08
CUDA_Unified,2048,1024,8.000000,162.345000,0.103343,1.291787e+07
CPU_Naive,2048,2048,16.000000,34.522000,0.971972,1.214966e+08
CUDA_Naive,2048,2048,16.000000,9.291000,3.611498,4.514373e+08
CUDA_Optimized,2048,2048,16.000000,6.225000,5.390270,6.737838e+08
CUDA_Unified,2048,2048,16.000000,314.241000,0.106779,1.334741e+07
CPU_Naive,4096,2048,32.000000,64.301000,1.043668,1.304584e+08
CUDA_Naive,4096,2048,32.000000,18.149000,3.697662,4.622077e+08
CUDA_Optimized,4096,2048,32.000000,12.521000,5.359705,6.699631e+08
CUDA_Unified,4096,2048,32.000000,615.521000,0.109028,1.362847e+07
